loc,v(g),ev(g),iv(g),l,d,i,b,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
11.0,3.0,3.0,1.0,0.12,8.13,15.12,0.04,6,0,2,0,13.0,8.0,18.0,10.0,5.0,False
14.0,2.0,1.0,2.0,0.16,6.43,48.39,0.11,8,0,4,0,10.0,18.0,37.0,27.0,3.0,False
22.0,3.0,1.0,3.0,0.11,9.09,36.45,0.11,17,0,2,0,16.0,22.0,41.0,25.0,4.0,False
15.0,1.0,1.0,1.0,0.12,8.45,22.81,0.06,10,0,3,0,9.0,10.0,31.0,13.0,1.0,False
23.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
10.0,3.0,3.0,2.0,0.13,7.5,16.12,0.04,6,0,0,0,12.0,8.0,18.0,10.0,5.0,False
8.0,2.0,1.0,2.0,0.4,2.5,12.68,0.01,4,0,2,0,5.0,4.0,6.0,4.0,3.0,False
10.0,1.0,1.0,1.0,0.16,6.11,16.11,0.04,7,0,1,0,10.0,9.0,17.0,11.0,1.0,False
256.0,74.0,1.0,38.0,0.02,44.02,154.36,3.03,211,0,19,0,23.0,115.0,691.0,589.0,147.0,False
16.0,4.0,1.0,4.0,0.08,12.38,27.58,0.11,12,0,1,0,12.0,16.0,38.0,33.0,7.0,False
11.0,1.0,1.0,1.0,0.24,4.2,37.09,0.05,8,0,1,0,7.0,10.0,19.0,16.0,1.0,False
7.0,1.0,1.0,1.0,0.11,9.0,8.46,0.03,4,0,1,0,9.0,4.0,12.0,8.0,1.0,False
174.0,16.0,8.0,7.0,0.04,27.99,67.82,0.76,115,9,15,2,22.0,57.0,218.0,160.0,31.0,False
61.0,8.0,4.0,8.0,0.04,26.8,46.75,0.42,45,4,10,0,22.0,35.0,143.0,89.0,15.0,False
4.0,2.0,1.0,1.0,0.19,5.25,9.88,0.02,2,0,0,0,7.0,4.0,9.0,6.0,3.0,False
25.0,2.0,1.0,2.0,0.11,9.33,33.95,0.11,17,0,4,0,12.0,15.0,42.0,28.0,3.0,False
7.0,1.0,1.0,1.0,0.2,5.0,9.08,0.02,5,0,0,0,5.0,3.0,10.0,4.0,1.0,False
17.0,5.0,5.0,2.0,0.07,15.0,14.48,0.07,14,0,1,0,15.0,8.0,32.0,16.0,9.0,False
40.0,5.0,1.0,5.0,0.08,12.0,53.22,0.22,31,0,3,0,12.0,28.0,69.0,54.0,9.0,False
13.0,1.0,1.0,1.0,0.13,7.88,9.87,0.03,6,1,3,0,9.0,4.0,14.0,7.0,1.0,False
17.0,2.0,1.0,2.0,0.08,11.9,17.9,0.07,11,0,4,0,11.0,10.0,24.0,21.0,3.0,False
12.0,2.0,1.0,2.0,0.22,4.5,22.33,0.04,8,0,2,0,9.0,8.0,19.0,8.0,3.0,False
106.0,15.0,13.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,False
7.0,2.0,1.0,1.0,0.18,5.6,11.23,0.02,5,0,0,0,8.0,5.0,11.0,7.0,3.0,False
10.0,3.0,1.0,2.0,0.07,14.0,12.26,0.06,7,0,1,0,16.0,6.0,27.0,10.0,5.0,False
50.0,8.0,4.0,7.0,0.03,33.12,18.66,0.22,40,0,5,0,21.0,12.0,82.0,42.0,15.0,False
11.0,2.0,1.0,2.0,0.16,6.25,23.79,0.05,9,0,1,0,10.0,10.0,21.0,11.0,3.0,False
7.0,3.0,1.0,2.0,0.16,6.42,13.38,0.03,5,0,0,0,9.0,6.0,14.0,7.0,5.0,False
14.0,2.0,1.0,2.0,0.14,7.0,21.11,0.05,11,0,1,0,11.0,11.0,18.0,14.0,3.0,False
36.0,4.0,1.0,3.0,0.04,24.44,27.28,0.22,22,4,6,1,16.0,18.0,81.0,55.0,7.0,False
8.0,1.0,1.0,1.0,0.25,4.0,20.93,0.02,4,0,2,0,8.0,7.0,14.0,7.0,1.0,False
30.0,8.0,6.0,6.0,0.05,18.85,32.07,0.19,24,0,2,0,22.0,22.0,61.0,39.0,15.0,False
26.0,4.0,1.0,2.0,0.08,13.0,16.3,0.07,16,4,2,0,13.0,10.0,30.0,20.0,7.0,False
9.0,3.0,3.0,1.0,0.12,8.33,18.35,0.05,6,0,1,0,11.0,9.0,18.0,15.0,5.0,False
9.0,1.0,1.0,1.0,0.33,3.0,17.3,0.02,6,1,0,0,5.0,5.0,10.0,8.0,1.0,False
20.0,3.0,1.0,3.0,0.07,14.62,12.04,0.06,15,0,3,0,13.0,7.0,28.0,16.0,5.0,False
29.0,4.0,4.0,4.0,0.06,16.0,22.09,0.12,17,6,4,0,16.0,14.0,46.0,31.0,7.0,False
28.0,6.0,1.0,1.0,0.05,20.22,18.13,0.14,21,0,5,0,13.0,9.0,59.0,32.0,11.0,False
35.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,False
23.0,5.0,3.0,2.0,0.06,17.5,27.89,0.16,17,1,2,0,15.0,22.0,53.0,45.0,9.0,False
28.0,5.0,1.0,5.0,0.06,17.5,26.83,0.15,18,0,6,0,17.0,18.0,59.0,35.0,9.0,False
6.0,1.0,1.0,1.0,0.33,3.0,15.5,0.02,3,0,1,0,6.0,5.0,8.0,5.0,1.0,False
5.0,1.0,1.0,1.0,0.24,4.08,14.5,0.02,3,0,0,0,7.0,6.0,9.0,7.0,1.0,False
23.0,6.0,3.0,3.0,0.08,12.5,23.11,0.1,16,1,4,0,11.0,12.0,39.0,25.0,11.0,False
24.0,4.0,1.0,4.0,0.09,11.79,27.07,0.11,19,0,3,0,13.0,17.0,35.0,30.0,5.0,False
10.0,2.0,1.0,2.0,0.19,5.18,26.05,0.05,7,0,1,0,8.0,11.0,20.0,14.0,3.0,False
27.0,13.0,1.0,13.0,0.08,12.61,55.85,0.23,21,0,4,0,15.0,33.0,74.0,55.0,25.0,False
24.0,3.0,1.0,3.0,0.09,11.25,27.8,0.1,20,0,2,0,12.0,16.0,37.0,27.0,5.0,False
10.0,2.0,1.0,2.0,0.12,8.43,13.03,0.03,5,0,1,0,11.0,7.0,16.0,10.0,3.0,False
25.0,6.0,1.0,2.0,0.07,13.85,23.88,0.11,18,0,1,0,18.0,17.0,40.0,28.0,11.0,False
45.0,5.0,4.0,2.0,0.06,18.16,39.66,0.23,33,2,7,0,19.0,27.0,95.0,51.0,9.0,False
30.0,9.0,5.0,2.0,0.04,26.47,22.0,0.18,26,0,2,0,19.0,17.0,59.0,48.0,17.0,False
16.0,2.0,1.0,2.0,0.29,3.5,25.09,0.03,5,1,2,0,7.0,7.0,11.0,7.0,3.0,False
39.0,13.0,8.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,False
19.0,3.0,1.0,2.0,0.1,10.0,23.08,0.08,15,0,2,0,12.0,11.0,30.0,18.0,5.0,False
13.0,1.0,1.0,1.0,0.28,3.61,39.27,0.05,10,0,1,0,5.0,21.0,17.0,19.0,1.0,False
71.0,11.0,1.0,10.0,0.08,12.0,87.27,0.32,55,0,14,0,12.0,36.0,87.0,78.0,21.0,False
12.0,2.0,1.0,2.0,0.4,2.5,20.97,0.02,7,0,2,0,5.0,8.0,9.0,8.0,3.0,False
41.0,5.0,1.0,5.0,0.05,19.5,25.84,0.17,32,2,5,0,19.0,19.0,60.0,39.0,9.0,False
86.0,12.0,12.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,23.0,False
33.0,1.0,1.0,1.0,0.05,20.09,38.11,0.26,26,0,4,0,16.0,23.0,75.0,62.0,1.0,False
26.0,4.0,1.0,3.0,0.1,9.58,33.7,0.11,20,0,3,0,14.0,19.0,42.0,26.0,7.0,False
23.0,4.0,1.0,4.0,0.08,12.92,35.2,0.14,20,0,1,0,15.0,18.0,54.0,32.0,7.0,False
17.0,3.0,1.0,3.0,0.09,11.0,16.26,0.06,11,0,4,0,12.0,8.0,26.0,16.0,5.0,False
13.0,2.0,1.0,2.0,0.3,3.86,19.19,0.02,9,0,1,0,6.0,7.0,11.0,9.0,3.0,False
18.0,2.0,1.0,2.0,0.1,10.0,19.79,0.06,14,0,2,0,12.0,9.0,27.0,18.0,3.0,False
22.0,3.0,1.0,2.0,0.07,13.54,21.24,0.1,16,0,4,0,14.0,13.0,37.0,26.0,5.0,False
10.0,2.0,1.0,2.0,0.09,10.83,12.94,0.05,7,0,1,0,15.0,8.0,21.0,13.0,3.0,False
53.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,False
74.0,8.0,8.0,5.0,0.06,17.03,50.87,0.29,48,6,9,0,16.0,31.0,90.0,66.0,15.0,False
5.0,1.0,1.0,1.0,0.4,1.5,7.86,0.01,2,0,1,0,5.0,2.0,5.0,2.0,1.0,False
20.0,7.0,5.0,2.0,0.06,15.86,21.62,0.11,16,0,2,0,18.0,14.0,43.0,26.0,13.0,False
26.0,3.0,1.0,3.0,0.1,10.5,39.89,0.14,21,0,3,0,14.0,20.0,55.0,30.0,5.0,False
34.0,4.0,1.0,3.0,0.09,10.66,29.59,0.12,26,0,5,0,11.0,17.0,42.0,31.0,7.0,False
52.0,8.0,1.0,7.0,0.06,17.0,43.49,0.32,46,0,7,0,17.0,37.0,96.0,70.0,15.0,False
13.0,2.0,1.0,2.0,0.14,7.38,36.34,0.08,8,0,3,0,9.0,13.0,34.0,20.0,3.0,False
26.0,2.0,1.0,2.0,0.06,16.36,19.82,0.11,15,2,5,0,15.0,11.0,43.0,25.0,3.0,False
8.0,2.0,1.0,1.0,0.33,3.0,15.0,0.02,6,0,0,0,4.0,4.0,9.0,6.0,3.0,False
15.0,4.0,1.0,2.0,0.07,14.29,14.48,0.07,11,0,2,0,12.0,7.0,30.0,17.0,7.0,False
21.0,3.0,1.0,1.0,0.09,11.2,26.83,0.1,16,0,3,0,11.0,15.0,32.0,28.0,5.0,False
17.0,2.0,1.0,2.0,0.09,11.5,23.18,0.09,14,0,1,0,14.0,14.0,31.0,25.0,3.0,False
53.0,7.0,1.0,6.0,0.04,25.5,34.19,0.29,44,3,6,0,22.0,25.0,87.0,70.0,13.0,False
28.0,4.0,4.0,4.0,0.07,14.55,16.81,0.08,20,0,6,0,16.0,11.0,38.0,22.0,7.0,False
24.0,4.0,1.0,3.0,0.08,12.67,28.4,0.12,16,1,4,0,16.0,15.0,45.0,25.0,7.0,False
50.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,False
11.0,2.0,1.0,1.0,0.24,4.17,20.0,0.03,8,0,1,0,7.0,6.0,18.0,6.0,3.0,False
16.0,2.0,1.0,2.0,0.09,11.0,17.17,0.06,13,1,0,0,13.0,9.0,27.0,18.0,3.0,False
9.0,2.0,1.0,2.0,0.5,2.0,23.25,0.02,6,0,1,0,4.0,4.0,10.0,4.0,3.0,False
31.0,7.0,5.0,4.0,0.05,20.24,34.68,0.26,25,0,5,0,15.0,19.0,84.0,58.0,13.0,False
7.0,2.0,1.0,2.0,0.13,8.0,10.84,0.03,4,0,1,0,8.0,4.0,13.0,8.0,3.0,False
21.0,3.0,1.0,3.0,0.08,12.31,30.75,0.12,15,0,4,0,11.0,14.0,51.0,31.0,5.0,False
29.0,6.0,6.0,3.0,0.05,19.58,19.09,0.12,21,2,2,0,17.0,12.0,50.0,29.0,11.0,False
32.0,7.0,7.0,3.0,0.05,21.25,20.47,0.14,24,1,2,0,17.0,14.0,47.0,30.0,13.0,False
33.0,5.0,1.0,3.0,0.05,19.33,27.68,0.18,20,5,4,0,18.0,21.0,56.0,47.0,9.0,False
20.0,4.0,1.0,2.0,0.13,7.31,30.0,0.08,18,0,1,0,12.0,16.0,28.0,23.0,7.0,False
272.0,19.0,1.0,19.0,0.02,46.27,207.25,2.6,223,31,23,1,22.0,115.0,653.0,466.0,37.0,False
5.0,1.0,1.0,1.0,0.21,4.8,12.44,0.02,3,0,0,0,8.0,5.0,9.0,7.0,1.0,False
4.0,1.0,1.0,1.0,0.33,3.0,14.62,0.01,2,0,0,0,6.0,6.0,9.0,7.0,1.0,False
34.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,21.0,False
115.0,1.0,1.0,1.0,0.04,22.71,125.42,1.05,86,0,25,0,12.0,56.0,297.0,217.0,1.0,False
31.0,3.0,1.0,2.0,0.05,19.0,19.08,0.13,23,2,5,0,19.0,13.0,50.0,30.0,5.0,False
25.0,4.0,1.0,4.0,0.08,12.92,23.55,0.11,14,4,3,0,13.0,13.0,38.0,29.0,7.0,False
22.0,4.0,1.0,3.0,0.08,12.1,20.25,0.09,18,0,2,0,11.0,10.0,33.0,22.0,7.0,False
21.0,3.0,1.0,2.0,0.07,13.5,16.57,0.09,17,0,2,0,14.0,10.0,31.0,18.0,5.0,False
257.0,14.0,10.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,27.0,False
17.0,2.0,1.0,2.0,0.29,3.44,27.99,0.03,12,0,2,0,5.0,8.0,15.0,11.0,3.0,False
16.0,4.0,1.0,4.0,0.14,7.0,17.28,0.03,13,0,1,0,7.0,7.0,15.0,14.0,7.0,False
20.0,2.0,1.0,2.0,0.16,6.25,39.53,0.08,15,0,3,0,9.0,18.0,29.0,25.0,3.0,False
14.0,1.0,1.0,1.0,0.23,4.36,33.72,0.05,10,0,2,0,6.0,11.0,20.0,16.0,1.0,False
17.0,3.0,1.0,2.0,0.13,7.86,17.13,0.04,14,0,1,0,10.0,7.0,20.0,11.0,5.0,False
43.0,14.0,7.0,4.0,0.02,43.8,22.4,0.33,36,0,7,0,22.0,15.0,125.0,75.0,27.0,False
12.0,2.0,1.0,2.0,0.25,4.0,15.23,0.02,7,0,2,0,8.0,7.0,10.0,7.0,3.0,False
64.0,6.0,1.0,4.0,0.08,11.78,68.65,0.26,48,0,10,0,12.0,33.0,80.0,66.0,11.0,False
32.0,5.0,1.0,2.0,0.06,16.14,15.45,0.09,22,5,2,0,17.0,10.0,39.0,20.0,9.0,False
56.0,5.0,1.0,5.0,0.06,16.5,40.0,0.23,45,0,7,0,18.0,25.0,84.0,45.0,9.0,False
17.0,1.0,1.0,1.0,0.1,9.82,34.61,0.11,10,0,4,1,10.0,17.0,42.0,34.0,1.0,False
23.0,6.0,6.0,3.0,0.05,20.48,30.72,0.21,17,0,4,0,21.0,22.0,77.0,44.0,11.0,False
8.0,2.0,1.0,2.0,0.16,6.75,18.67,0.04,6,0,0,0,9.0,8.0,16.0,12.0,3.0,False
8.0,1.0,1.0,1.0,0.15,6.67,11.95,0.02,6,0,0,0,8.0,6.0,12.0,8.0,1.0,False
25.0,5.0,5.0,3.0,0.05,20.0,24.16,0.17,21,0,1,0,15.0,15.0,61.0,40.0,9.0,False
26.0,7.0,7.0,4.0,0.06,17.5,16.32,0.08,17,1,4,0,14.0,10.0,33.0,25.0,13.0,False
10.0,2.0,1.0,2.0,0.17,6.0,16.42,0.03,8,0,0,0,8.0,6.0,17.0,9.0,3.0,False
7.0,1.0,1.0,1.0,0.14,7.0,14.01,0.03,4,0,1,0,10.0,6.0,15.0,8.0,1.0,False
23.0,2.0,1.0,1.0,0.08,12.13,23.72,0.1,17,0,5,0,16.0,15.0,36.0,27.0,3.0,False
23.0,6.0,1.0,6.0,0.09,11.48,57.33,0.22,19,0,1,1,11.0,23.0,72.0,52.0,11.0,False
51.0,5.0,1.0,4.0,0.04,26.4,27.5,0.26,34,11,6,0,18.0,20.0,102.0,67.0,9.0,False
16.0,2.0,1.0,2.0,0.22,4.5,24.84,0.04,10,1,2,0,7.0,10.0,16.0,12.0,3.0,False
33.0,5.0,4.0,1.0,0.05,22.1,27.38,0.21,24,4,4,0,18.0,15.0,82.0,39.0,9.0,False
9.0,3.0,3.0,2.0,0.11,9.0,12.33,0.04,7,0,0,0,12.0,6.0,19.0,9.0,5.0,False
34.0,3.0,1.0,2.0,0.06,15.77,26.82,0.14,20,3,6,0,11.0,13.0,54.0,36.0,5.0,False
41.0,6.0,1.0,6.0,0.05,19.97,30.98,0.21,33,3,3,0,15.0,19.0,70.0,54.0,11.0,False
21.0,5.0,1.0,2.0,0.18,5.63,28.03,0.06,14,2,4,0,9.0,12.0,21.0,15.0,9.0,False
18.0,2.0,1.0,2.0,0.13,7.86,26.02,0.07,14,0,2,0,8.0,13.0,24.0,22.0,3.0,False
17.0,3.0,1.0,2.0,0.11,8.88,23.74,0.07,12,0,3,0,11.0,13.0,27.0,19.0,5.0,False
4.0,1.0,1.0,1.0,0.2,5.0,7.83,0.01,2,0,0,0,7.0,2.0,7.0,4.0,1.0,False
5.0,1.0,1.0,1.0,0.2,5.0,8.88,0.01,3,0,0,0,6.0,3.0,8.0,5.0,1.0,False
14.0,1.0,1.0,1.0,0.15,6.46,36.34,0.09,12,0,0,0,11.0,18.0,39.0,21.0,1.0,False
50.0,8.0,1.0,7.0,0.12,8.14,98.81,0.27,42,0,4,0,10.0,28.0,84.0,49.0,15.0,False
12.0,1.0,1.0,1.0,0.23,4.38,24.86,0.04,10,0,0,0,7.0,8.0,17.0,10.0,1.0,False
21.0,8.0,8.0,5.0,0.09,11.25,27.92,0.1,18,0,1,0,15.0,16.0,45.0,24.0,15.0,False
20.0,2.0,1.0,2.0,0.13,7.94,39.04,0.1,14,0,5,0,11.0,17.0,38.0,26.0,3.0,False
13.0,2.0,1.0,2.0,0.16,6.42,15.49,0.03,8,0,3,0,7.0,6.0,15.0,11.0,3.0,False
24.0,5.0,5.0,3.0,0.06,17.19,19.26,0.11,16,1,5,0,17.0,12.0,47.0,25.0,9.0,False
20.0,3.0,1.0,3.0,0.08,12.73,21.15,0.08,16,0,3,0,12.0,11.0,36.0,20.0,5.0,False
12.0,2.0,1.0,2.0,0.13,8.0,8.93,0.02,8,0,2,0,8.0,4.0,11.0,8.0,3.0,False
21.0,3.0,3.0,2.0,0.07,14.0,13.0,0.07,14,1,4,0,12.0,8.0,28.0,18.0,5.0,False
31.0,5.0,1.0,3.0,0.1,10.31,29.65,0.1,16,6,6,0,12.0,16.0,38.0,26.0,9.0,False
67.0,11.0,7.0,7.0,0.03,34.13,39.9,0.45,50,0,3,5,23.0,28.0,137.0,92.0,21.0,False
64.0,10.0,3.0,7.0,0.04,25.87,36.61,0.31,40,8,11,0,20.0,27.0,107.0,74.0,19.0,False
20.0,4.0,3.0,2.0,0.12,8.18,18.86,0.05,14,0,4,0,11.0,11.0,21.0,15.0,7.0,False
20.0,2.0,1.0,2.0,0.14,7.38,36.8,0.09,15,0,3,0,10.0,17.0,33.0,24.0,3.0,False
22.0,4.0,1.0,3.0,0.07,14.4,25.88,0.12,19,0,1,0,16.0,15.0,45.0,28.0,7.0,False
7.0,2.0,1.0,2.0,0.3,3.33,17.64,0.02,5,0,0,0,5.0,6.0,11.0,8.0,3.0,False
40.0,4.0,1.0,3.0,0.08,12.66,26.82,0.12,25,5,4,1,16.0,18.0,41.0,29.0,7.0,False
29.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,False
31.0,2.0,1.0,2.0,0.11,8.76,35.61,0.11,25,1,5,0,13.0,17.0,40.0,28.0,3.0,False
57.0,6.0,1.0,2.0,0.04,23.21,31.65,0.24,33,0,7,0,18.0,21.0,92.0,68.0,7.0,False
29.0,4.0,4.0,4.0,0.09,10.89,37.55,0.13,19,1,6,0,12.0,19.0,46.0,34.0,7.0,False
31.0,1.0,1.0,1.0,0.08,13.33,20.93,0.1,17,7,4,0,10.0,9.0,42.0,27.0,1.0,False
5.0,1.0,1.0,1.0,0.29,3.5,17.41,0.02,3,0,0,0,7.0,6.0,9.0,6.0,1.0,False
11.0,2.0,1.0,1.0,0.09,11.43,16.75,0.06,17,0,1,0,8.0,7.0,29.0,18.0,3.0,False
36.0,5.0,4.0,4.0,0.07,14.88,37.84,0.18,24,2,5,2,17.0,24.0,61.0,42.0,9.0,False
31.0,4.0,1.0,3.0,0.06,16.62,20.14,0.11,25,0,4,0,16.0,13.0,44.0,26.0,7.0,False
19.0,4.0,1.0,3.0,0.09,11.19,32.54,0.12,14,0,3,0,14.0,18.0,47.0,29.0,7.0,False
27.0,2.0,1.0,2.0,0.25,4.36,34.66,0.05,10,10,5,0,6.0,13.0,21.0,16.0,3.0,False
4.0,1.0,1.0,1.0,0.33,3.0,9.69,0.01,2,0,0,0,4.0,2.0,8.0,5.0,1.0,False
21.0,6.0,3.0,3.0,0.04,25.0,21.25,0.17,17,0,2,0,20.0,15.0,65.0,37.0,11.0,False
9.0,2.0,1.0,1.0,0.2,5.0,18.44,0.03,6,0,1,0,7.0,7.0,15.0,9.0,3.0,False
14.0,1.0,1.0,1.0,0.07,13.42,28.36,0.13,8,0,4,0,9.0,13.0,46.0,39.0,1.0,False
8.0,2.0,1.0,1.0,0.24,4.2,11.95,0.02,5,0,1,0,7.0,5.0,8.0,6.0,3.0,False
34.0,5.0,1.0,3.0,0.08,12.61,39.38,0.16,29,0,5,0,16.0,22.0,57.0,35.0,8.0,False
32.0,5.0,5.0,3.0,0.07,14.4,25.7,0.12,24,0,6,0,16.0,15.0,46.0,25.0,9.0,False
45.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
19.0,2.0,1.0,2.0,0.13,7.94,39.87,0.11,17,1,2,0,9.0,17.0,34.0,32.0,3.0,False
26.0,6.0,4.0,6.0,0.06,16.0,35.02,0.17,21,0,3,0,16.0,23.0,60.0,46.0,11.0,False
9.0,2.0,1.0,2.0,0.17,5.73,25.66,0.05,5,0,1,1,9.0,11.0,17.0,17.0,3.0,False
14.0,2.0,1.0,2.0,0.15,6.75,28.76,0.06,9,0,2,0,9.0,14.0,24.0,18.0,3.0,False
65.0,9.0,4.0,4.0,0.02,42.71,19.4,0.28,48,0,14,1,22.0,15.0,97.0,62.0,15.0,False
13.0,2.0,1.0,2.0,0.17,5.85,23.98,0.05,9,0,2,0,9.0,10.0,19.0,13.0,3.0,False
15.0,1.0,1.0,1.0,0.17,5.91,26.02,0.05,10,0,0,0,10.0,11.0,18.0,17.0,1.0,False
23.0,3.0,1.0,3.0,0.1,10.0,19.83,0.06,18,0,3,0,10.0,10.0,21.0,18.0,5.0,False
104.0,17.0,11.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,33.0,False
23.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17.0,0.0,0.0,15.0,False
7.0,1.0,1.0,1.0,0.5,2.0,27.68,0.02,4,0,1,0,4.0,6.0,8.0,8.0,1.0,False
11.0,2.0,1.0,2.0,0.14,7.5,12.16,0.03,8,0,1,0,9.0,6.0,17.0,10.0,3.0,False
24.0,5.0,1.0,1.0,0.08,12.06,30.32,0.12,18,0,2,0,14.0,17.0,44.0,29.0,6.0,False
41.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
50.0,6.0,1.0,5.0,0.05,21.48,36.39,0.25,40,6,5,0,20.0,23.0,80.0,61.0,11.0,False
16.0,2.0,1.0,2.0,0.1,10.5,22.76,0.08,12,0,2,0,11.0,12.0,33.0,21.0,3.0,False
9.0,1.0,1.0,1.0,0.24,4.08,40.35,0.05,7,0,0,0,7.0,12.0,23.0,15.0,1.0,False
42.0,5.0,1.0,4.0,0.05,18.67,20.47,0.12,26,0,6,0,14.0,12.0,47.0,28.0,9.0,False
6.0,1.0,1.0,1.0,0.67,1.5,12.06,0.01,3,0,3,0,3.0,3.0,4.0,3.0,1.0,False
12.0,3.0,1.0,3.0,0.19,5.33,20.69,0.04,8,0,2,0,8.0,9.0,15.0,12.0,4.0,False
33.0,6.0,5.0,1.0,0.05,21.04,21.53,0.14,23,5,3,0,19.0,14.0,51.0,33.0,11.0,False
39.0,8.0,1.0,1.0,0.06,15.75,28.15,0.16,28,0,7,0,15.0,12.0,51.0,34.0,9.0,False
18.0,4.0,4.0,2.0,0.06,16.5,16.04,0.09,14,0,3,0,14.0,10.0,37.0,22.0,7.0,False
21.0,2.0,1.0,2.0,0.13,8.0,32.04,0.09,15,0,4,0,12.0,15.0,32.0,20.0,3.0,False
